"SIF_STR","NAZIV","NASLOV","POSTA","KRAJ","TEKST","NAZIV1","SKUP","X","Y","TOT_DIST_km","TOT_TIME_min","TOT_TIME_h_min"
7047,"CETIS D.D.","ČOPOVA ULICA 24",3000,"CELJE","OSTALO","PE LENART","3000 ČOPOVA ULICA 24","15,25508062","46,23888411",145,142,02:22
7348,"CETIS D.D. - muflonski odpad","ČOPOVA ULICA 24",3000,"CELJE","OSTALO","PE LENART","3000 ČOPOVA ULICA 24","15,25508062","46,23888411",145,142,02:22
7092,"CETIS D.D.-SLOPAK-KV","ČOPOVA ULICA 24",3000,"CELJE","SLOPAK - KU 2","PE LENART","3000 ČOPOVA ULICA 24","15,25508062","46,23888411",145,142,02:22
7047,"CETIS, d.d. - se vozi v Lenart","ČOPOVA ULICA 24",3000,"CELJE","OSTALO","PE LENART","3000 ČOPOVA ULICA 24","15,25508062","46,23888411",145,142,02:22
7252,"CETIS, D.D. - smeti","ČOPOVA ULICA 24",3000,"CELJE","OSTALO","PE LENART","3000 ČOPOVA ULICA 24","15,25508062","46,23888411",145,142,02:22
7299,"ČISTO MESTO PTUJ, d.o.o. - prevoz za lastne p","DORNAVSKA CESTA 26",2250,"PTUJ","INTERNO","PE LENART","2250 DORNAVSKA CESTA 26","15,90401894","46,42337426",57,84,01:24
7056,"ČISTO MESTO PTUJ, d.o.o. - prevoz za lastne p","DORNAVSKA C. 26",2250,"PTUJ","INTERNO","PE LENART","2250 DORNAVSKA 26","15,90401894","46,42337426",57,84,01:24
7300,"CRO VRHNIKA, d.o.o. - prevoz za lastne potreb","POT NA TOJNICE 40",1360,"VRHNIKA","INTERNO","PE LENART","1360 POT NA TOJNICE 40","14,31317563","45,97402242",327,294,04:54
7326,"D & M ENGINEERING, d.o.o. - Lenart","TBILISIJSKA 81",1000,"LJUBLJANA","OSTALO","PE LENART","1000 TBILISIJSKA 81","14,47775076","46,03589504",299,275,04:35
7360,"DARJA BERDEN, s.p.","AJDOVA POT 5",2000,"MARIBOR","OSTALO","PE LENART","2000 AJDOVA POT 5","15,63400897","46,5123757",53,65,01:05
7436,"DAVIDOV HRAM, d.o.o.","TRATE 2",9250,"GORNJA RADGONA","OSTALO","PE LENART","9250 TRATE 2","15,9940687","46,68025235",37,43,00:43
7436,"DAVIDOV HRAM, d.o.o. - pe Gornja Radgona","TRATE 2",9250,"GORNJA RADGONA","OSTALO","PE LENART","9250 TRATE 2","15,9940687","46,68025235",37,43,00:43
7436,"DAVIDOV HRAM, d.o.o. - pe Gornja Radgona","TRATE 2",9250,"GORNJA RADGONA","OSTALO","PE LENART","9250 TRATE 2","15,9940687","46,68025235",37,43,00:43
7446,"DAVIDOV HRAM, d.o.o. - pe Ptuj","RAJŠPOVA ULICA 22",2250,"PTUJ","OSTALO","PE LENART","2250 RAJŠPOVA ULICA 22","15,88267135","46,42031144",56,86,01:26
7592,"DEJAN KARBA s.p.- ostalo","RADEHOVA 24 A",2230,"LENART V SLOVENSKIH GORICAH","OSTALO","PE LENART","2230 RADEHOVA 24A","15,85450416","46,56545855",5,12,00:12
7338,"DEKOTAN, d.o.o.","TREBČE 58",3256,"BISTRICA OB SOTLI","OSTALO","PE LENART","3256 TREBČE 58","15,61707823","46,04195404",193,214,03:34
7612,"DELO PRODAJA, d.d. - tiskarna LEYKAM","MIKLAVŠKA CESTA 61",2000,"MARIBOR","OSTALO","PE LENART","2000 MIKLAVŠKA 61","15,65848415","46,49961426",63,63,01:03
7612,"DELO PRODAJA, d.d. - tiskarna LEYKAM","MIKLAVŠKA CESTA 61",2000,"MARIBOR","OSTALO","PE LENART","2000 MIKLAVŠKA 61","15,65848415","46,49961426",63,63,01:03
7474,"DEPORTIVO d.o.o.","TRGOVSKA ULICA 11",2310,"SLOVENSKA BISTRICA","OSTALO","PE LENART","2310 TRGOVSKA ULICA 11","15,57464545","46,38611096",91,115,01:55
7474,"DEPORTIVO d.o.o.","TRGOVSKA CESTA 11",2310,"SLOVENSKA BISTRICA","OSTALO","PE LENART","2310 TRGOVSKA 11","15,57464545","46,38611096",91,115,01:55
7474,"DEPORTIVO d.o.o.","TRGOVSKA CESTA 11",2310,"SLOVENSKA BISTRICA","OSTALO","PE LENART","2310 TRGOVSKA 11","15,57464545","46,38611096",91,115,01:55
7474,"DEPORTIVO d.o.o.","TRGOVSKA CESTA 11",2310,"SLOVENSKA BISTRICA","OSTALO","PE LENART","2310 TRGOVSKA 11","15,57464545","46,38611096",91,115,01:55
7232,"DINOS, d.d. - Maribor","TRŽAŠKA CESTA 55",2000,"MARIBOR","OSTALO","PE LENART","2000 TRŽAŠKA CESTA 55","15,65469895","46,52392782",47,57,00:57
7048,"DM  DROGERIE MARKT","JURČIČEVA ULICA 4",2000,"MARIBOR","INTERSEROH","PE LENART","2000 JURČIČEVA ULICA 4","15,64703524","46,55898751",45,55,00:55
7050,"DM  DROGERIE MARKT","KARDELJEVA CESTA 59",2000,"MARIBOR","INTERSEROH","PE LENART","2000 KARDELJEVA CESTA 59","15,63408361","46,54222708",49,60,01:00
7004,"DOLENC JANEZ S.P.","DRAGONJA VAS 1A",2326,"CIRKOVCE","OSTALO","PE LENART","2326 DRAGONJA VAS 1A","15,72978703","46,39250218",90,107,01:47
7319,"DOM UPOKOJENCEV PTUJ - enota KIDRIČEVO - slop","KAJUHOVA ULICA 2",2325,"KIDRIČEVO","SLOPAK - KU 2","PE LENART","2325 KAJUHOVA ULICA 2","15,79471573","46,40353062",87,87,01:27
7318,"DOM UPOKOJENCEV PTUJ - enota MURETINCI- slopa","MURETINCI 45",2272,"GORIŠNICA","SLOPAK - KU 2","PE LENART","2272 MURETINCI 45","15,99685524","46,38527182",82,117,01:57
7317,"DOM UPOKOJENCEV PTUJ - slopak","VOLKMERJEVA CESTA 10",2250,"PTUJ","SLOPAK - KU 2","PE LENART","2250 VOLKMERJEVA CESTA 10","15,8737856","46,42436556",54,83,01:23
7142,"DOMINKO D.O.O.","ZADRUŽNI TRG 8",2250,"PTUJ","OSTALO","PE LENART","2250 ZADRUŽNI TRG 8","15,86615173","46,41556161",57,87,01:27
7142,"DOMINKO D.O.O.","ZADRUŽNI TRG 8",2250,"PTUJ","OSTALO","PE LENART","2250 ZADRUŽNI TRG 8","15,86615173","46,41556161",57,87,01:27
7599,"DOMPET, OSTROVERŠNIK MIRA, s.p.","SELNIŠKA CESTA 30",2342,"RUŠE","OSTALO","PE LENART","2342 SELNIŠKA CESTA 30","15,50409728","46,5418863",78,160,02:40
